Quote	Author
"Believe you can and you're halfway there."	Theodore Roosevelt
"Your only limit is your mind."	Unknown
"Shine like the whole universe is yours."	Rumi
"The only way to do great work is to love what you do."	Steve Jobs
"Your attitude determines your direction."	Unknown
"Happiness is an inside job."	William Arthur Ward
"The future belongs to those who believe in the beauty of their dreams."	Eleanor Roosevelt
"Stay close to anything that makes you glad you are alive."	Hafez
"Inhale courage, exhale fear."	Unknown
"Do more things that make you forget to check your phone."	Unknown
"Wherever you go, no matter what the weather, always bring your own sunshine."	Anthony J. D'Angelo
"The more you praise and celebrate your life, the more there is in life to celebrate."	Oprah Winfrey
"Life is 10% what happens to us and 90% how we react to it."	Charles R. Swindoll
"Every day may not be good, but there's something good in every day."	Alice Morse Earle
"Joy is not in things; it is in us."	Richard Wagner
"The only limit to our realization of tomorrow will be our doubts of today."	Franklin D. Roosevelt
"Make today amazing."	Unknown
"The best way to predict the future is to create it."	Peter Drucker
"Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle."	Christian D. Larson
"The joy you feel when you become a giver is unmatched."	Osho
"Be the reason someone smiles today."	Unknown
"Your vibe attracts your tribe."	Unknown
"Radiate boundless love towards the entire world."	Buddha
"Be a voice, not an echo."	Unknown
"Keep your face always toward the sunshine—and shadows will fall behind you."	Walt Whitman
"The secret of getting ahead is getting started."	Mark Twain
"Do more of what makes you happy."	Unknown
"In the middle of every difficulty lies opportunity."	Albert Einstein
"Difficulties in life are intended to make us better, not bitter."	Dan Reeves
"Your positive action combined with positive thinking results in success."	Shiv Khera
"Every morning brings new potential, but only if you make the most of it."	Unknown
"Happiness is not by chance, but by choice."	Jim Rohn
"Your time is limited, don't waste it living someone else's life."	Steve Jobs
"Believe in miracles, but don't depend on them."	Hannelore Von Randow
"Success is not final, failure is not fatal: It is the courage to continue that counts."	Winston Churchill
"The only way to achieve the impossible is to believe it is possible."	Charles Kingsleigh
"Your life does not get better by chance, it gets better by change."	Jim Rohn
"Be a voice, not an echo."	Unknown
"Your attitude determines your direction."	Unknown
"Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle."	Christian D. Larson
"Joy is not in things; it is in us."	Richard Wagner
"The more you praise and celebrate your life, the more there is in life to celebrate."	Oprah Winfrey
"Inhale courage, exhale fear."	Unknown
"Do more things that make you forget to check your phone."	Unknown
"Wherever you go, no matter what the weather, always bring your own sunshine."	Anthony J. D'Angelo
"The secret of getting ahead is getting started."	Mark Twain
"Happiness is an inside job."	William Arthur Ward
"The best way to predict the future is to create it."	Peter Drucker
"Your positive action combined with positive thinking results in success."	Shiv Khera
"Be the reason someone smiles today."	Unknown
"Radiate boundless love towards the entire world."	Buddha
"Believe you can and you're halfway there."	Theodore Roosevelt
"Your only limit is your mind."	Unknown
"Shine like the whole universe is yours."	Rumi
"The only way to do great work is to love what you do."	Steve Jobs
"Your attitude determines your direction."	Unknown
"Happiness is an inside job."	William Arthur Ward
"The future belongs to those who believe in the beauty of their dreams."	Eleanor Roosevelt
"Stay close to anything that makes you glad you are alive."	Hafez
"Inhale courage, exhale fear."	Unknown
"Do more things that make you forget to check your phone."	Unknown
"Wherever you go, no matter what the weather, always bring your own sunshine."	Anthony J. D'Angelo
"The more you praise and celebrate your life, the more there is in life to celebrate."	Oprah Winfrey
"Life is 10% what happens to us and 90% how we react to it."	Charles R. Swindoll
"Every day may not be good, but there's something good in every day."	Alice Morse Earle
"Joy is not in things; it is in us."	Richard Wagner
"The only limit to our realization of tomorrow will be our doubts of today."	Franklin D. Roosevelt
"Make today amazing."	Unknown
"The best way to predict the future is to create it."	Peter Drucker
"Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle."	Christian D. Larson
"The joy you feel when you become a giver is unmatched."	Osho
"Be the reason someone smiles today."	Unknown
"Your vibe attracts your tribe."	Unknown
"Radiate boundless love towards the entire world."	Buddha
"Be a voice, not an echo."	Unknown
"Keep your face always toward the sunshine—and shadows will fall behind you."	Walt Whitman
"The secret of getting ahead is getting started."	Mark Twain
"Do more of what makes you happy."	Unknown
"In the middle of every difficulty lies opportunity."	Albert Einstein
"Difficulties in life are intended to make us better, not bitter."	Dan Reeves
"Your positive action combined with positive thinking results in success."	Shiv Khera
"Every morning brings new potential, but only if you make the most of it."	Unknown
"Happiness is not by chance, but by choice."	Jim Rohn
"Your time is limited, don't waste it living someone else's life."	Steve Jobs
"Believe in miracles, but don't depend on them."	Hannelore Von Randow
"Success is not final, failure is not fatal: It is the courage to continue that counts."	Winston Churchill
"The only way to achieve the impossible is to believe it is possible."	Charles Kingsleigh
