Quote	Author
The only way to do great work is to love what you do.	Steve Jobs
Believe you can and you're halfway there.	Theodore Roosevelt
Strive not to be a success, but rather to be of value.	Albert Einstein
Your time is limited, don't waste it living someone else's life.	Steve Jobs
The future belongs to those who believe in the beauty of their dreams.	Eleanor Roosevelt
Success is not final, failure is not fatal: It is the courage to continue that counts.	Winston Churchill
In order to succeed, we must first believe that we can.	Nikos Kazantzakis
The only limit to our realization of tomorrow will be our doubts of today.	Franklin D. Roosevelt
You are never too old to set another goal or to dream a new dream.	C.S. Lewis
Don't watch the clock; do what it does. Keep going.	Sam Levenson
The only place where success comes before work is in the dictionary.	Vidal Sassoon
It does not matter how slowly you go, as long as you do not stop.	Confucius
I have not failed. I've just found 10,000 ways that won't work.	Thomas A. Edison
If you want to lift yourself up, lift up someone else.	Booker T. Washington
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.	Roy T. Bennett
Success is stumbling from failure to failure with no loss of enthusiasm.	Winston S. Churchill
Don't be afraid to give up the good to go for the great.	John D. Rockefeller
The only way to achieve the impossible is to believe it is possible.	Charles Kingsleigh (Alice in Wonderland)
The only person you are destined to become is the person you decide to be.	Ralph Waldo Emerson
You miss 100% of the shots you don't take.	Wayne Gretzky
It's not whether you get knocked down, it's whether you get up.	Vince Lombardi
The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.	Jordan Belfort
Your attitude, not your aptitude, will determine your altitude.	Zig Ziglar
The best way to predict the future is to create it.	Peter Drucker
It always seems impossible until it's done.	Nelson Mandela
The secret of getting ahead is getting started.	Mark Twain
You are what you do, not what you say you'll do.	C.G. Jung
The only limit to our realization of tomorrow will be our doubts of today.	Franklin D. Roosevelt
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.	Roy T. Bennett
Success is stumbling from failure to failure with no loss of enthusiasm.	Winston S. Churchill
Don't be afraid to give up the good to go for the great.	John D. Rockefeller
The only way to achieve the impossible is to believe it is possible.	Charles Kingsleigh (Alice in Wonderland)
The only person you are destined to become is the person you decide to be.	Ralph Waldo Emerson
You miss 100% of the shots you don't take.	Wayne Gretzky
It's not whether you get knocked down, it's whether you get up.	Vince Lombardi
The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.	Jordan Belfort
Your attitude, not your aptitude, will determine your altitude.	Zig Ziglar
The best way to predict the future is to create it.	Peter Drucker
It always seems impossible until it's done.	Nelson Mandela
The secret of getting ahead is getting started.	Mark Twain
You are what you do, not what you say you'll do.	C.G. Jung
Success is not in what you have, but who you are.	Bo Bennett
The only limit to our realization of tomorrow will be our doubts of today.	Franklin D. Roosevelt
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.	Roy T. Bennett
Success is stumbling from failure to failure with no loss of enthusiasm.	Winston S. Churchill
Don't be afraid to give up the good to go for the great.	John D. Rockefeller
The only way to achieve the impossible is to believe it is possible.	Charles Kingsleigh (Alice in Wonderland)
The only person you are destined to become is the person you decide to be.	Ralph Waldo Emerson
You miss 100% of the shots you don't take.	Wayne Gretzky
It's not whether you get knocked down, it's whether you get up.	Vince Lombardi
The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.	Jordan Belfort
Your attitude, not your aptitude, will determine your altitude.	Zig Ziglar
The best way to predict the future is to create it.	Peter Drucker
It always seems impossible until it's done.	Nelson Mandela
The secret of getting ahead is getting started.	Mark Twain
You are what you do, not what you say you'll do.	C.G. Jung
Success is not in what you have, but who you are.	Bo Bennett
The only limit to our realization of tomorrow will be our doubts of today.	Franklin D. Roosevelt
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.	Roy T. Bennett
Success is stumbling from failure to failure with no loss of enthusiasm.	Winston S. Churchill
Don't be afraid to give up the good to go for the great.	John D. Rockefeller
The only way to achieve the impossible is to believe it is possible.	Charles Kingsleigh (Alice in Wonderland)
The only person you are destined to become is the person you decide to be.	Ralph Waldo Emerson
You miss 100% of the shots you don't take.	Wayne Gretzky
It's not whether you get knocked down, it's whether you get up.	Vince Lombardi
The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.	Jordan Belfort
Your attitude, not your aptitude, will determine your altitude.	Zig Ziglar
The best way to predict the future is to create it.	Peter Drucker
It always seems impossible until it's done.	Nelson Mandela
The secret of getting ahead is getting started.	Mark Twain
You are what you do, not what you say you'll do.	C.G. Jung
Success is not in what you have, but who you are.	Bo Bennett
The only limit to our realization of tomorrow will be our doubts of today.	Franklin D. Roosevelt
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.	Roy T. Bennett
Success is stumbling from failure to failure with no loss of enthusiasm.	Winston S. Churchill
Don't be afraid to give up the good to go for the great.	John D. Rockefeller
The only way to achieve the impossible is to believe it is possible.	Charles Kingsleigh (Alice in Wonderland)
The only person you are destined to become is the person you decide to be.	Ralph Waldo Emerson
You miss 100% of the shots you don't take.	Wayne Gretzky
It's not whether you get knocked down, it's whether you get up.	Vince Lombardi
The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.	Jordan Belfort
Your attitude, not your aptitude, will determine your altitude.	Zig Ziglar
The best way to predict the future is to create it.	Peter Drucker
It always seems impossible until it's done.	Nelson Mandela
The secret of getting ahead is getting started.	Mark Twain
You are what you do, not what you say you'll do.	C.G. Jung
Success is not in what you have, but who you are.	Bo Bennett
